Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
150,pose VVP (cathlon)
390,Bair hugger
450,CEFAZOLINE_bolus
540,pré-oxygénation
900,SUFENTANIL_induction
930,PROPOFOL_induction
960,ATRACURIUM_induction
990,Occlusion oculaire
1470,intubation
1860,SEVOFLURANE_continu
1890,Ventilation contrôlé intubée
1920,Oxygène 30%
1950,Auscultation pulmonaire
1980,Surveillance pression ballonnet
2010,Manoeuvre Recrutement Alvéolaire
2100,Pose sonde T°C
2370,Auscultation pulmonaire
2400,Surveillance points d'appui
2550,SEVOFLURANE_continu
2580,SUFENTANIL_bolus
2640,Incision
3060,Trocard sous-ombilical
3120,Inflation pneumopéritoine
3330,ATRACURIUM_bolus
3780,Auscultation pulmonaire
3810,Manoeuvre Recrutement Alvéolaire
4110,Dissection espace prépéritonéal
4440,Dissection cordon spermatique
4680,Dissection cordon zone herniaire
4980,SUFENTANIL_bolus
5670,ATRACURIUM_bolus
7230,Mise en place prothèse
9210,Déflation pneumopéritoine
9270,Fermeture
9630,Pansement
9660,stop sevoflurane
10410,Contrôle de décurarisation
10470,Décurarusation
10890,Mise en place du patient
