Time,FC,PAS,PAM,PAD
-1,79,157,114,98
0,86.9,172.7,125.4,98
150,87.3133,172.647,127.173,98
300,84.7999,175.85,128.488,98
450,85.3469,171.623,128.022,96.8129
600,88.2761,170.756,122.911,96.3347
750,87.9226,173.299,123.99,99.7359
900,81.5143,132.467,104.38,79.0531
1050,79.7733,135.987,129.955,97.9867
1200,78.6564,174.866,125.06,97.416
1350,80.9817,171.93,127.856,94.8046
1500,80.8658,177.926,125.254,101.356
1650,62.9034,121.475,45.3206,64.7566
1800,69.1888,119.29,77.1946,67.2057
1950,72.4514,112.807,77.9765,65.5377
2100,69.9552,115.528,79.92,65.8374
2250,61.8108,89.0699,52.2096,42.5112
2400,64.554,80.4464,55.5422,45.4058
2550,62.3606,81.9452,58.4824,50.3615
2700,66.8181,86.8847,64.0283,45.1629
2850,80.1852,109.417,79.1623,50.9031
3000,66.0716,88.129,59.2157,45.4655
3150,68.969,94.5229,58.9954,46.6834
3300,65.755,87.4844,58.915,48.9805
3450,68.0732,91.2077,57.8446,44.7795
3600,69.2945,89.5726,56.8498,50.338
3750,80.7356,108.869,75.4655,49.0707
3900,85.9891,99.2594,74.2307,45.5209
4050,96.0249,101.795,82.4556,50.1908
4200,95.0989,107.891,79.7313,48.0844
4350,99.3353,112.061,81.6764,46.3083
4500,98.5813,114.201,79.8992,49.7549
4650,96.1724,114.504,82.7739,46.9023
4800,87.7165,107.064,85.3799,48.4913
4950,91.1537,107.011,76.5248,51.3864
5100,91.9724,105.751,83.0191,51.2043
5250,95.5295,111.528,84.4136,45.2743
5400,98.1061,115.565,81.4914,51.5993
5550,96.5803,107.347,81.7512,53.9668
5700,99.492,107.269,79.6869,52.3826
5850,96.4851,100.596,82.5843,49.154
6000,98.0182,107.142,83.9217,50.6569
6150,96.3914,105.799,82.3624,50.2619
6300,96.6648,98.0066,83.9065,53.857
6450,96.0396,102.323,89.3968,52.0381
6600,95.7842,99.4479,86.0879,52.4862
6750,98.8073,94.3719,84.9935,47.7045
6900,98.9339,99.915,86.0512,53.9422
7050,100.426,108.454,85.5221,50.2343
7200,96.8909,101.089,87.5705,50.3558
7350,96.7027,97.8436,84.4048,54.2422
7500,103.742,98.191,87.9149,51.4728
7650,106.094,100.945,89.2408,50.1953
7800,108.29,97.1427,85.8208,51.5351
7950,108.019,104.286,84.9131,52.7314
8100,106.826,100.874,81.8783,50.9198
8250,86.6257,83.4844,71.1471,49.5699
8400,87.0939,79.7187,61.5433,52.2738
8550,85.5366,78.0461,67.1408,50.8487
8700,85.5725,77.8738,63.522,49.9271
8850,82.0651,126.45,97.0181,80.405
9000,81.062,125.679,95.9511,81.3955
9150,83.6757,122.35,96.233,81.9328
9300,83.7661,125.651,94.0531,82.1368
9450,83.7078,123.767,96.8877,82.6453
9600,82.8307,126.085,94.1742,81.9979
9750,83.3785,127.509,96.7892,80.5417
9900,84.9357,121.925,94.2995,80.485
