Time,FC,PAS,PAM,PAD
-1,63,136,90,77
0,69.3,149.6,99,77
150,69.4477,151.588,97.443,77
300,68.6143,150.432,99.8141,77
450,69.1242,152.328,103.283,77.463
600,69.0632,151.859,102.427,77.73
750,65.1092,117.519,80.2941,59.2474
900,59.7967,115.949,78.136,77.2914
1050,60.2949,152.961,97.0287,75.3454
1200,57.1817,107.27,69.0867,54.3086
1350,55.0077,102.505,45.9759,58.753
1500,54.8889,100.04,62.1751,54.7912
1650,55.8192,99.2329,65.6089,56.3287
1800,56.3522,95.9413,66.0039,55.767
1950,50.5917,63.2859,43.0776,37.7457
2100,48.654,69.5985,47.349,37.0922
2250,58.5323,84.6685,58.5546,36.6232
2400,58.3576,91.3661,59.9821,37.3134
2550,55.3382,68.6213,50.2566,39.9642
2700,53.0334,70.1479,45.347,39.2001
2850,61.5328,88.0754,59.9335,40.8492
3000,62.7134,86.9315,59.3562,38.4185
3150,62.8387,88.3333,60.6381,37.5878
3300,67.8978,91.4288,59.5589,41.3977
3450,74.1244,91.5635,64.7121,37.9133
3600,72.1006,103.403,62.4647,38.2593
3750,71.1155,97.1085,58.9696,39.3429
3900,65.998,101.987,63.5098,34.4265
4050,68.9963,96.35,65.3099,39.1444
4200,67.1424,94.1314,63.9946,35.6325
4350,68.6217,96.182,65.3449,35.8283
4500,67.0252,98.4151,60.9632,33.9492
4650,73.7001,100.426,62.9867,38.2019
4800,74.1972,102.907,64.3584,38.7353
4950,70.0444,97.4837,63.7138,35.6451
5100,70.1019,104.266,67.985,34.1719
5250,69.1267,95.7934,59.1519,35.5583
5400,73.5946,100.65,61.2517,34.6416
5550,72.3471,97.6367,66.5526,35.2632
5700,72.4378,100.836,63.6537,36.0424
5850,71.3991,97.4535,63.6877,35.5436
6000,73.4453,94.0139,64.9686,33.7606
6150,73.2951,95.2671,67.2716,35.3742
6300,59.1343,77.0095,54.022,38.5724
6450,63.6892,74.0371,54.2275,36.7207
6600,64.3143,76.4035,52.3888,36.2969
6750,63.3255,116.738,76.5332,58.389
6900,62.2639,116.692,76.8469,58.8921
7050,63.286,113.558,75.3582,58.2233
7200,65.084,114.016,75.3282,58.7346
7350,62.3845,116.304,74.8865,56.5194
7500,63.2449,113.146,76.0221,58.7904
7650,64.7958,114.165,74.6267,57.4579
