Time,FC,PAS,PAM,PAD
-1,54,122,85,75
0,59.4,134.2,93.5,75
150,59.1902,133.527,91.4903,75
300,58.1686,135.14,92.9429,75
450,59.5709,135.926,93.7328,75.0761
600,58.7709,133.425,95.1979,74.2871
750,57.4672,111.849,72.2345,61.6121
900,51.2595,114.445,73.8755,59.5222
1050,50.6711,137.793,100.269,73.6548
1200,43.5526,93.732,33.5322,52.7908
1350,45.8644,91.6018,35.2967,52.7997
1500,46.7316,92.0872,58.3506,53.6473
1650,47.2867,94.1288,58.1307,53.3804
1800,49.9093,89.3411,55.2746,53.9515
1950,43.3166,67.8652,42.3166,35.3757
2100,43.0693,72.4058,50.4295,36.478
2250,50.5083,84.2271,67.6765,38.0251
2400,53.9259,84.4695,61.54,37.8235
2550,43.7857,67.6304,52.1167,35.6102
2700,46.9111,71.6531,50.1552,36.6271
2850,50.7139,83.8159,61.4304,34.3029
3000,52.3412,85.4187,65.1655,38.0717
3150,55.722,95.9924,61.4571,34.9959
3300,56.7259,88.859,66.7141,37.2039
3450,58.0911,98.9719,66.5788,35.5153
3600,61.8994,92.8366,64.7869,36.3595
3750,57.671,95.568,66.9951,38.6331
3900,56.5151,96.8276,75.2903,38.0453
4050,53.1769,94.4979,70.9242,36.4298
4200,55.8323,92.5578,64.2662,36.4037
4350,57.2429,94.1004,67.8022,36.7046
4500,56.6565,97.0217,70.2197,41.244
4650,57.6658,100.607,63.9433,40.1454
4800,56.492,100.504,66.5261,37.9205
4950,61.5195,103.492,67.803,37.8796
5100,61.691,101.984,67.6173,38.7501
5250,58.8031,99.2878,69.7168,37.8741
5400,58.0829,100.363,66.2118,39.0989
5550,57.8085,95.4339,67.1052,38.8891
5700,57.7531,98.751,72.4335,37.2715
5850,59.4377,99.2046,71.7572,35.6387
6000,60.0209,98.9902,70.3232,34.3742
6150,57.47,96.9041,72.5818,35.2883
6300,58.8033,98.3823,68.6532,37.1637
6450,51.6729,77.2161,55.4965,34.0752
6600,52.9027,72.5796,53.3844,32.7018
6750,54.0675,72.1099,50.6702,33.1778
6900,53.1015,74.761,53.8464,36.0216
7050,53.5086,107.911,77.4785,56.1418
7200,53.4499,105.982,75.6767,57.985
7350,52.3285,109.066,79.8488,57.8122
7500,50.9553,107.383,80.0757,56.8917
7650,50.8997,105.09,78.1613,55.3443
7800,50.888,108.242,77.3563,56.324
7950,52.7448,105.158,79.8376,56.3019
8100,52.1951,109.295,78.1607,56.7752
8250,51.8829,105.381,78.8108,56.4101
