Time,FC,PAS,PAM,PAD
-1,85,119,113,95
0,93.5,130.9,124.3,95
150,91.2431,130.739,126.281,95
300,93.0445,127.887,123.133,95
450,93.8912,132.464,126.008,94.4711
600,92.9868,130.168,127.848,93.2734
750,89.6198,129.53,123.976,93.6515
900,88.1568,101.957,99.4848,75.5029
1050,83.8607,128.281,100.795,91.2063
1200,83.2974,130.807,120.143,95.2177
1350,70.006,93.2506,48.7974,67.3988
1500,71.4183,87.2327,78.264,66.5284
1650,74.2277,90.1308,82.3627,63.4536
1800,74.4554,92.4619,81.008,68.7435
1950,67.8623,63.6601,49.7606,46.5429
2100,65.3026,57.0894,54.3066,45.3454
2250,80.4188,72.9335,70.8301,46.0684
2400,73.996,72.6679,60.271,41.4726
2550,71.5261,74.3469,61.2006,47.6448
2700,82.2064,87.0067,71.3162,48.9412
2850,82.8683,85.5261,76,48.0092
3000,82.7071,81.5399,78.1071,46.9368
3150,87.8944,85.3322,83.4156,48.8365
3300,96.5406,80.5018,87.6908,47.5908
3450,99.1634,90.6733,89.6044,44.9288
3600,94.2054,93.3955,83.3553,47.047
3750,90.235,87.3235,79.0647,44.9016
3900,91.4607,94.6402,88.1087,46.0499
4050,90.6686,85.3196,83.4816,45.2456
4200,89.5191,95.9433,85.1827,44.6753
4350,90.4741,91.7276,86.2587,48.5866
4500,92.8363,94.7535,85.0739,49.6541
4650,100.216,95.4486,87.7298,47.4401
4800,95.849,92.101,84.652,44.1895
4950,100.878,92.3134,89.9567,47.4147
5100,98.0855,92.8748,89.3316,45.6307
5250,94.2658,96.7566,88.2568,51.8217
5400,100.159,91.0171,84.0903,47.9548
5550,100.608,95.7837,92.795,47.9601
5700,97.6255,90.3215,87.9022,46.2763
5850,94.9833,96.8947,87.6041,44.6444
6000,82.1307,70.2635,69.5242,48.3746
6150,86.1329,71.7133,66.4955,47.0839
6300,84.8398,71.719,65.6338,46.4917
6450,84.7461,103.755,90.9337,75.3172
6600,84.082,99.1618,91.6869,76.3108
6750,86.6071,103.78,90.9761,74.2355
6900,87.7822,104,95.6943,77.2392
7050,84.1134,105.673,94.9367,75.9034
7200,85.8413,105.678,93.8085,76.6829
7350,85.8265,106.176,93.2703,76.4672
7500,85.66,104.537,97.4568,76.854
