Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
150,pose VVP (cathlon)
390,Bair hugger
450,CEFAZOLINE_bolus
540,pré-oxygénation
780,SUFENTANIL_induction
810,PROPOFOL_induction
840,ATRACURIUM_induction
870,Occlusion oculaire
1230,intubation
1500,SEVOFLURANE_continu
1530,Ventilation contrôlé intubée
1560,Oxygène 30%
1590,Auscultation pulmonaire
1620,Surveillance pression ballonnet
1650,Manoeuvre Recrutement Alvéolaire
1740,Pose sonde T°C
2010,Auscultation pulmonaire
2040,Surveillance points d'appui
2190,SEVOFLURANE_continu
2220,SUFENTANIL_bolus
2280,Incision
2700,Trocard sous-ombilical
2760,Inflation pneumopéritoine
3060,Auscultation pulmonaire
3090,Manoeuvre Recrutement Alvéolaire
3270,ATRACURIUM_bolus
3390,Dissection espace prépéritonéal
3720,Dissection cordon spermatique
3960,Dissection cordon zone herniaire
4260,SUFENTANIL_bolus
5670,ATRACURIUM_bolus
5730,Mise en place prothèse
7470,Déflation pneumopéritoine
7650,Fermeture
8130,Pansement
8160,stop sevoflurane
8790,Contrôle de décurarisation
8850,Décurarusation
9150,Mise en place du patient
