Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
150,pose VVP (cathlon)
390,Bair hugger
450,CEFAZOLINE_bolus
540,pré-oxygénation
840,SUFENTANIL_induction
870,PROPOFOL_induction
900,ATRACURIUM_induction
930,Occlusion oculaire
1230,intubation
1500,SEVOFLURANE_continu
1530,Ventilation contrôlé intubée
1560,Oxygène 30%
1590,Auscultation pulmonaire
1620,Surveillance pression ballonnet
1650,Manoeuvre Recrutement Alvéolaire
1740,Pose sonde T°C
2010,Auscultation pulmonaire
2040,Surveillance points d'appui
2070,SEVOFLURANE_continu
2190,SUFENTANIL_bolus
2250,Incision
2730,Trocard sous-ombilical
2790,Inflation pneumopéritoine
3300,ATRACURIUM_bolus
3450,Auscultation pulmonaire
3480,Manoeuvre Recrutement Alvéolaire
3780,Dissection espace prépéritonéal
4110,Dissection cordon spermatique
4350,Dissection cordon zone herniaire
4650,SUFENTANIL_bolus
5700,ATRACURIUM_bolus
6660,Mise en place prothèse
8340,Déflation pneumopéritoine
8520,Fermeture
8940,Pansement
8970,stop sevoflurane
9780,Contrôle de décurarisation
9840,Décurarusation
10260,Mise en place du patient
