Time,FC,PAS,PAM,PAD
-1,58,136,94,76
0,63.8,149.6,103.4,76
150,63.8697,152.227,101.534,76
300,62.9687,152.05,105.075,76
450,61.3218,145.627,103.694,76.6243
600,64.3613,149.653,100.917,74.0374
750,57.6984,121.783,80.9377,64.2057
900,58.0665,144.227,77.0486,65.2277
1050,57.3843,154.173,106.918,77.0878
1200,47.6237,105.935,42.4355,52.2764
1350,45.4676,100.924,42.8118,55.3504
1500,49.7788,96.232,65.3868,51.9224
1650,50.0391,103.18,69.9658,52.7937
1800,51.6441,105.542,68.3883,51.6499
1950,44.8189,66.9546,45.1055,36.8079
2100,46.6312,72.806,45.9256,31.4466
2250,59.4025,84.7333,59.989,35.9636
2400,50.7431,81.3377,54.9034,39.8138
2550,47.3199,80.3912,56.5959,33.9153
2700,55.7891,93.4591,65.5294,38.0374
2850,56.5382,91.0656,63.3075,37.9101
3000,60.2314,96.8254,65.8258,35.4733
3150,60.3928,98.1875,65.296,37.7722
3300,60.342,94.2463,64.3542,40.9732
3450,62.9508,96.051,65.4789,32.7162
3600,59.3586,105.993,63.9942,34.7456
3750,58.5411,99.626,72.4504,39.0877
3900,59.6037,101.903,67.3188,35.9074
4050,62.231,97.4536,63.7464,34.8849
4200,61.6724,100.831,70.1735,34.3673
4350,65.0664,96.5804,71.7776,36.2062
4500,62.4524,98.243,65.3958,30.3823
4650,61.5504,96.2329,69.1485,36.5422
4800,63.7255,93.8521,66.8532,35.6837
4950,65.9354,97.4545,69.577,33.7987
5100,68.5185,96.6932,73.7041,35.3377
5250,65.0632,99.9644,71.6011,36.4281
5400,65.6424,99.1154,73.9603,35.598
5550,63.3396,96.6568,69.7732,35.1721
5700,68.1718,95.0137,74.7167,33.2066
5850,67.9468,98.3205,70.6028,36.0106
6000,67.2541,93.1026,71.0218,36.3142
6150,68.0612,99.8733,73.9969,38.0869
6300,65.4567,96.5375,72.543,35.3767
6450,57.6463,75.0571,58.3145,36.9961
6600,62.468,79.4414,58.5694,36.4777
6750,61.0147,75.1362,57.1694,38.2421
6900,56.7845,67.0725,51.0088,36.3725
7050,60.9082,111.525,81.2594,58.9773
7200,61.097,113.384,84.6787,55.6563
7350,61.2587,113.735,82.9051,56.5565
7500,60.2819,111.668,84.6593,55.8645
7650,58.0686,113.578,81.6019,56.1837
7800,59.9912,109.557,81.7495,57.139
7950,58.0573,109.825,81.493,58.1326
8100,58.5168,110.32,80.0144,58.6583
8250,61.8696,110.305,83.1607,57.9086
