Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
150,pose VVP (cathlon)
390,Bair hugger
450,CEFAZOLINE_bolus
540,pré-oxygénation
900,SUFENTANIL_induction
930,PROPOFOL_induction
960,ATRACURIUM_induction
990,Occlusion oculaire
1470,intubation
1860,SEVOFLURANE_continu
1890,Ventilation contrôlé intubée
1920,Oxygène 30%
1950,Auscultation pulmonaire
1980,Surveillance pression ballonnet
2010,Manoeuvre Recrutement Alvéolaire
2100,Pose sonde T°C
2370,Auscultation pulmonaire
2400,Surveillance points d'appui
2430,SEVOFLURANE_continu
2550,SUFENTANIL_bolus
2610,Incision
3330,Trocard sous-ombilical
3360,ATRACURIUM_bolus
3390,Inflation pneumopéritoine
4890,Auscultation pulmonaire
4920,Manoeuvre Recrutement Alvéolaire
5220,Dissection espace prépéritonéal
5550,Dissection cordon spermatique
5760,ATRACURIUM_bolus
5790,Dissection cordon zone herniaire
6090,SUFENTANIL_bolus
8160,ATRACURIUM_bolus
9540,Mise en place prothèse
11040,Déflation pneumopéritoine
11100,Fermeture
11520,Pansement
11550,stop sevoflurane
12300,Contrôle de décurarisation
12360,Décurarusation
12840,Mise en place du patient
