Time,FC,PAS,PAM,PAD
-1,53,110,77,62
0,58.3,121,84.7,62
150,57.9377,123.599,84.2166,62
300,56.8675,118.405,84.0594,62
450,55.2938,124.133,84.2307,60.4688
600,58.3178,121.009,85.7411,61.532
750,57.602,125.463,86.8563,60.5395
900,54.5367,91.4416,63.0905,52.4459
1050,51.5582,123.062,69.0336,51.4138
1200,52.5065,114.717,85.0893,60.664
1350,52.4755,121.216,81.0234,58.0884
1500,45.695,83.901,34.4379,44.3578
1650,43.0059,89.0452,33.7326,44.2218
1800,46.7709,84.0253,54.993,42.5461
1950,46.7627,88.5103,56.6128,44.2406
2100,39.9208,55.1013,36.6089,31.0655
2250,46.6388,56.2522,36.9876,30.4025
2400,41.5348,62.2877,36.4115,31.3725
2550,44.8152,60.8016,34.459,31.0473
2700,41.9975,63.6682,36.5114,31.0563
2850,45.3998,60.1207,33.824,31.1315
3000,49.3153,69.0589,50.1145,32.9974
3150,50.2168,68.0328,44.0437,32.9657
3300,54.8195,69.2056,47.8002,32.8906
3450,63.6728,75.8113,54.4642,34.2903
3600,67.3726,73.4343,58.5119,28.7951
3750,67.1877,81.4449,57.1164,30.4332
3900,61.8257,78.9786,55.1282,30.7699
4050,58.6357,78.9999,53.4419,29.2945
4200,55.9408,79.758,56.4036,34.1895
4350,58.3914,77.3038,57.1851,31.4237
4500,56.7504,75.9469,52.1622,35.0253
4650,60.3904,74.1455,53.9368,35.5146
4800,62.3886,78.4066,56.7308,31.4228
4950,66.126,81.9031,54.2643,32.4163
5100,63.23,82.1615,57.2534,31.5712
5250,60.943,85.3264,56.3558,31.8914
5400,64.4757,78.2867,53.8253,29.6335
5550,62.9955,85.5377,57.081,31.2416
5700,63.9057,83.0098,54.6955,29.5991
5850,62.1153,82.1813,56.1812,31.2737
6000,64.9459,78.8436,54.2261,29.0003
6150,62.0962,80.5896,53.8004,30.5457
6300,63.2744,82.1387,51.4018,28.051
6450,64.7013,82.2155,55.1383,30.5509
6600,67.4468,83.433,54.6882,28.4512
6750,69.8978,81.7151,54.4471,29.9472
6900,55.2418,66.9901,43.3644,30.9232
7050,55.6354,63.3341,39.9159,32.1561
7200,55.6697,63.2369,40.8459,30.4981
7350,52.3985,90.3971,61.415,48.4683
7500,53.6265,92.361,60.4779,50.719
7650,54.8191,92.8279,59.459,48.1966
7800,53.4799,90.6219,59.5769,49.4218
7950,52.5787,94.007,58.117,47.8833
8100,52.5467,91.3786,61.5513,49.1806
8250,53.3072,91.9629,61.6941,49.8309
8400,53.7358,93.3562,60.6164,48.3404
8550,53.0874,93.0609,59.6039,48.8146
