Time,FC,PAS,PAM,PAD
-1,67,139,112,90
0,73.7,152.9,123.2,90
150,73.5848,151.733,123.009,90
300,75.2511,150.478,123.755,90
450,72.9701,150.324,123.007,90.2985
600,71.7038,151.207,125.816,89.8011
750,74.5461,155.578,120.375,88.5209
900,69.9373,152.565,121.218,91.2753
1050,66.2534,118.315,99.7259,68.693
1200,67.9964,158.751,95.3592,69.2743
1350,67.4611,155.816,115.905,87.097
1500,68.3151,152.508,123.036,89.8904
1650,67.6593,150.951,122.605,90.8031
1800,56.2535,104.962,46.7468,58.7639
1950,56.2897,108.265,53.7207,62.583
2100,56.4089,107.16,81.618,62.6045
2250,61.5495,105.753,77.4157,63.2878
2400,58.9854,101.779,81.6233,60.47
2550,59.3229,81.9802,67.2815,41.4587
2700,54.2458,88.5703,66.6821,44.4381
2850,54.1709,85.7125,66.2219,44.9592
3000,52.7293,93.5712,61.1662,45.2735
3150,51.1729,89.6327,57.1931,44.0761
3300,54.742,89.1936,58.7542,44.6947
3450,64.6041,87.7945,58.9255,42.0517
3600,58.8256,87.9644,55.5043,44.4275
3750,61.7589,85.3356,61.8648,42.1828
3900,74.3208,98.9118,73.274,43.1675
4050,74.5726,92.6171,75.8198,47.1216
4200,78.4322,98.6523,78.3555,44.3927
4350,77.3959,99.9765,81.6148,43.3044
4500,83.0539,99.6842,81.5441,43.8525
4650,79.6954,105.31,82.4427,43.0625
4800,76.8918,101.794,80.4181,42.7224
4950,74.545,97.3558,83.8518,46.5274
5100,77.201,101.195,81.9134,46.005
5250,75.3985,103.819,85.0427,46.3401
5400,78.4124,104.95,79.6204,42.6029
5550,76.3726,95.6305,79.6543,44.9488
5700,79.7527,100.281,79.7471,47.1662
5850,75.5499,102.776,83.129,47.8214
6000,77.9187,95.5863,84.812,39.9247
6150,79.483,101.821,82.6673,40.5038
6300,77.9932,101.76,83.9378,44.3606
6450,77.1642,107.983,81.1142,39.9919
6600,81.4271,101.936,81.4591,41.1742
6750,81.0533,101.976,85.3117,41.7325
6900,80.4679,105.415,85.2772,43.9955
7050,84.9232,99.767,81.4177,45.0979
7200,87.3346,107.629,86.247,41.5528
7350,87.9394,98.9612,84.9729,42.9616
7500,88.9047,102.131,84.7095,44.3011
7650,90.4883,102.84,87.2795,44.9183
7800,87.9477,103.784,86.328,44.0057
7950,90.1498,106.606,83.0695,40.9679
8100,88.6478,103.439,83.1411,43.7941
8250,89.1127,105.39,85.5454,40.2985
8400,91.3329,105.505,84.9655,42.1546
8550,89.9124,103.796,85.111,41.3197
8700,72.41,82.1933,67.51,42.5408
8850,72.3245,78.4089,66.8171,43.0999
9000,72.0618,81.9106,66.1989,41.1403
9150,73.0429,82.1268,64.3901,41.9381
9300,71.7506,118.129,95.6407,69.5901
9450,70.667,117.054,95.4121,68.5063
9600,72.4456,116.78,95.017,68.8305
9750,71.3763,116.205,94.349,68.5102
9900,70.69,115.021,95.6544,67.9635
10050,69.4587,117.559,95.6724,70.1794
10200,70.6078,116.989,96.0439,68.4862
10350,70.2948,115.624,94.7461,68.3394
10500,72.3445,115.846,95.1292,69.133
