Time,FC,PAS,PAM,PAD
-1,63,118,86,77
0,69.3,129.8,94.6,77
150,69.0924,128.83,96.274,77
300,69.2037,129.339,93.4092,77
450,66.2354,129.174,95.3753,75.8923
600,67.604,129.279,95.1507,76.3821
750,69.1209,129.788,93.6248,78.143
900,66.6069,98.4402,75.1756,60.7305
1050,63.8356,102.392,80.9112,60.6125
1200,63.1998,129.985,95.7702,76.4584
1350,52.9327,92.5984,33.8879,55.5212
1500,53.6521,86.3458,40.139,56.4045
1650,56.3861,89.8484,57.2388,55.1849
1800,56.7997,80.7508,57.3541,56.3349
1950,55.4879,86.6597,61.6179,57.3509
2100,54.9736,70.4663,48.58,38.1927
2250,62.0612,75.9163,52.2662,37.5598
2400,65.1966,84.4956,55.4288,35.1431
2550,51.6865,69.7079,46.9352,37.2424
2700,52.6849,69.0538,51.2875,38.7889
2850,62.21,85.9759,57.2505,38.5017
3000,63.2668,72.3981,58.7292,37.1352
3150,66.0387,85.6076,60.5735,34.1372
3300,72.5025,81.1551,61.8556,37.9129
3450,75.9666,85.5133,62.4258,38.1385
3600,76.3065,90.8304,64.198,37.8153
3750,74.6694,84.846,64.2979,36.6032
3900,69.3336,81.7116,69.5393,35.4018
4050,69.863,90.7741,64.649,34.1642
4200,69.4341,80.6353,61.5433,36.243
4350,71.2941,88.7177,63.4597,39.7894
4500,73.1409,87.8348,60.9187,34.2889
4650,77.3714,83.0368,63.5378,35.8827
4800,76.6021,84.7556,68.3636,36.1341
4950,77.0636,94.706,67.7157,35.5783
5100,78.2408,87.6356,67.3443,36.6412
5250,79.5915,89.0775,67.1749,35.2328
5400,77.0239,90.8015,66.168,33.9572
5550,79.7182,87.7932,70.8646,37.1245
5700,76.0755,92.6022,68.8995,34.2834
5850,76.6628,92.9442,67.7156,37.2519
6000,77.124,84.6064,71.0196,34.6973
6150,79.1405,87.9997,65.4908,36.9296
6300,84.6381,91.8952,66.3062,35.6307
6450,84.3467,94.6731,66.7544,38.0951
6600,82.8894,93.2951,67.1132,38.4614
6750,85.0182,94.0146,67.6662,37.6912
6900,70.6969,75.8744,53.3703,38.4107
7050,70.0263,78.8711,52.4402,36.6701
7200,68.3181,77.6312,54.0681,37.6488
7350,66.6707,104.142,74.1512,57.9633
7500,65.0125,103.616,75.5251,59.2686
7650,66.2825,106.801,74.0423,58.2041
7800,64.7446,102.513,73.2942,58.8504
7950,66.2079,108.757,73.1614,60.0392
8100,64.2338,104.274,75.2061,60.6396
8250,63.5134,106.236,73.9843,57.9833
8400,63.8633,106.951,75.9295,58.3212
8550,63.0637,105.801,75.6672,59.613
