Time,FC,PAS,PAM,PAD
-1,62,140,95,73
0,68.2,154,104.5,73
150,68.371,157.08,107.006,73
300,68.8017,151.322,102.264,73
450,65.2026,155.603,104.26,72.4304
600,67.9296,151.785,101.842,72.6686
750,69.47,156.823,104.642,73.7893
900,64.66,118.408,84.0374,58.2251
1050,57.8405,118.25,78.8293,60.0676
1200,62.5651,158.268,107.483,74.9162
1350,62.8772,157.604,105.555,73.2363
1500,60.9905,155.544,108.578,74.02
1650,50.0903,107.462,42.7928,48.611
1800,52.39,111.679,45.2111,49.1269
1950,55.7212,107.6,64.5211,51.6292
2100,56.0355,108.236,66.6533,51.3575
2250,50.8878,77.3377,49.7925,34.3407
2400,52.5721,79.036,56.0219,36.8144
2550,49.7489,77.9636,53.9509,32.0581
2700,49.3455,79.3632,53.3691,33.965
2850,49.6984,80.8136,49.9434,35.405
3000,60.2944,95.9771,64.0173,35.939
3150,50.5101,85.9085,58.8342,36.8436
3300,51.1015,87.3491,60.6506,38.4432
3450,47.7064,88.2424,62.125,37.4628
3600,51.3225,93.1701,63.6249,34.6589
3750,53.3232,88.4522,62.8527,37.034
3900,56.1289,85.607,64.453,40.6245
4050,57.9943,89.5936,63.8585,41.0596
4200,69.2063,97.3875,74.6622,37.8654
4350,70.3642,100.354,69.3059,35.4958
4500,72.8347,110.616,74.7162,37.9748
4650,73.7975,106.84,68.3346,37.4604
4800,76.0833,107.905,72.2443,39.399
4950,73.757,112.171,73.4235,41.3657
5100,71.3032,107.873,74.2269,33.6608
5250,69.1522,111.046,74.378,39.9971
5400,70.6531,106.644,71.734,38.6312
5550,72.2135,108.236,72.4601,36.4857
5700,69.0799,108.795,76.8263,35.4419
5850,72.6572,106.39,74.2576,39.0582
6000,70.3476,107.86,74.8664,36.8407
6150,73.6042,111.931,71.0018,38.472
6300,72.8755,109.075,74.0652,34.0006
6450,70.4989,109.338,77.3538,37.4244
6600,72.4678,104.941,76.5186,38.2711
6750,70.1273,106.118,75.3469,36.19
6900,70.2729,112.803,76.1439,38.8219
7050,75.7026,106.383,70.7581,36.9522
7200,71.9343,102.601,75.1108,36.0523
7350,73.0068,103.187,75.0371,37.9625
7500,69.5559,105.302,74.5098,36.0478
7650,73.5723,106.652,75.7001,38.9573
7800,69.367,100.75,77.8908,39.9567
7950,76.9306,103.087,78.5937,34.2355
8100,78.3602,106.624,77.7385,36.7826
8250,80.1948,105.045,76.8587,38.3636
8400,80.9509,106.835,75.5449,37.2241
8550,81.657,105.777,76.6731,37.9204
8700,81.0787,105.409,77.8404,37.8549
8850,80.5217,103.5,79.0119,37.8224
9000,80.7213,102.502,76.0298,37.0545
9150,79.3015,106.366,78.6462,37.8505
9300,79.105,106.563,75.3169,37.6745
9450,69.1323,84.6428,61.8524,37.4992
9600,66.807,84.8966,64.234,36.0442
9750,62.3174,117.945,87.1519,60.3451
9900,64.9912,118.135,85.7268,59.1532
10050,63.8508,117.818,88.2296,58.3079
10200,62.9775,117.217,86.0699,59.3413
10350,65.143,117.789,84.3772,61.1105
10500,62.21,116.686,86.51,61.1527
10650,63.4669,121.259,86.3319,60.1927
10800,63.2258,118.83,87.2406,59.4967
10950,64.5324,118.696,84.9716,59.9795
