Time,FC,PAS,PAM,PAD
-1,82,132,95,84
0,90.2,145.2,104.5,84
150,90.5715,147.938,106.703,84
300,88.7246,142.302,105.292,84
450,89.2111,150.4,104.915,84.9872
600,88.3384,141.388,101.598,82.9988
750,88.2362,147.783,107.203,85.5811
900,86.997,117.096,80.4366,67.5783
1050,84.4677,106.592,105.594,65.9977
1200,82.4184,147.618,107.57,85.8674
1350,68.8504,107.268,39.1941,59.7618
1500,65.2799,102.015,39.6495,56.198
1650,73.3364,95.544,63.9106,58.7945
1800,71.4238,101.581,68.6719,59.8274
1950,67.6347,73.17,49.1187,43.1441
2100,70.0767,83.2878,52.0838,40.4192
2250,76.1867,92.9467,69.5501,41.8617
2400,68.0584,67.7008,54.3303,36.5779
2550,70.4552,77.532,56.8039,41.9926
2700,67.0772,69.5763,58.6706,38.8357
2850,68.9858,74.0714,57.3371,39.2795
3000,65.8879,79.95,55.5772,40.9915
3150,77.9327,93.2004,64.6183,41.4833
3300,78.9251,93.4526,70.11,37.4054
3450,83.8454,92.7135,66.4742,42.0748
3600,83.1026,97.7911,72.5858,39.0723
3750,87.3427,98.2726,77.545,39.656
3900,93.2367,100.845,74.3958,39.7641
4050,90.5764,97.2234,72.1513,39.6637
4200,88.2865,98.6781,64.8721,39.8621
4350,84.0776,110.511,69.7058,38.4187
4500,83.7188,100.661,73.8484,33.5371
4650,84.385,101.523,69.4861,37.6417
4800,83.3346,98.5738,67.9652,37.3102
4950,86.3692,92.9419,71.9712,38.7151
5100,93.722,91.1816,70.0047,36.0395
5250,96.0131,94.4277,70.8417,39.5733
5400,93.5891,95.7044,68.0045,37.8104
5550,96.0853,97.3345,75.3338,40.2015
5700,92.839,98.8585,72.8708,39.0425
5850,92.9629,91.4066,68.9274,36.6875
6000,94.3226,94.0622,68.0132,42.1723
6150,96.0545,91.7376,74.4821,38.1145
6300,95.9654,96.8117,72.995,36.9494
6450,94.2917,90.8295,70.3926,40.8692
6600,96.2042,89.8616,75.0482,40.7382
6750,96.5998,94.3004,71.1157,37.9706
6900,94.9378,93.0776,75.4629,38.5722
7050,99.6956,95.4813,71.8008,39.8261
7200,85.666,77.3393,58.6123,39.1425
7350,88.5367,73.3703,54.1166,38.217
7500,88.1955,73.0897,52.0388,38.3285
7650,89.2145,69.2089,54.6549,38.1892
7800,85.6118,110.798,80.3055,64.867
7950,86.1974,109.269,79.4996,65.8965
8100,84.4703,106.689,79.3638,64.3361
8250,84.9919,106.231,78.7348,64.1008
8400,85.0889,105.399,77.9514,65.4586
8550,87.3744,107.253,78.2089,64.1468
8700,88.1872,108.102,81.0064,65.6352
