Time,FC,PAS,PAM,PAD
-1,58,148,90,105
0,63.8,162.8,99,105
150,64.3715,162.337,99.0336,105
300,65.1333,160.96,96.7417,105
450,62.5591,157.647,97.8467,105.322
600,62.4896,166.407,103.463,103.495
750,65.4291,160.473,96.3159,104.194
900,61.9264,127.186,82.811,87.1096
1050,56.154,128.236,80.1558,85.2323
1200,50.0098,120.361,77.0675,77.8417
1350,46.745,126.553,44.8057,78.528
1500,47.7621,121.84,72.2621,80.7394
1650,50.3278,121.852,69.9175,80.4268
1800,51.6291,125.148,73.0242,83.0611
1950,48.7479,93.5121,57.5214,52.749
2100,57.234,110.568,65.8298,50.2999
2250,58.9199,105.735,65.7663,53.8384
2400,47.0863,88.2727,62.243,54.8409
2550,47.5596,81.4183,64.5891,54.3298
2700,56.0197,104.261,70.0212,55.8094
2850,52.5737,100.942,68.2045,54.8938
3000,56.416,111.104,67.9617,52.7137
3150,58.0319,113.723,72.6662,53.8495
3300,62.2902,113.869,71.8807,55.6106
3450,64.4929,116.832,76.6737,57.0637
3600,63.8048,112.834,72.9658,51.0336
3750,60.4233,117.263,72.584,52.9751
3900,56.4503,110.416,71.1466,55.938
4050,56.5419,116.262,77.5291,55.6375
4200,59.8087,115.837,79.6425,54.8844
4350,63.4311,118.263,71.9242,55.0211
4500,67.3693,115.779,70.1492,56.4167
4650,67.7825,116.151,73.4397,57.1323
4800,67.2323,112.322,74.5871,56.7404
4950,67.477,114.48,76.1115,54.3205
5100,66.9999,116.566,70.9434,55.6418
5250,64.9189,115.478,72.9873,56.1791
5400,67.2105,114.138,76.5615,52.8135
5550,69.2238,113.686,73.9905,56.3008
5700,69.1536,112.449,72.6123,54.5661
5850,67.0588,111.668,71.8199,56.3576
6000,70.3122,114.284,73.628,53.369
6150,75.4345,113.006,70.8891,53.2007
6300,61.2779,92.5519,58.162,53.8973
6450,63.0679,82.3951,53.3602,54.3397
6600,62.6684,83.3353,54.6101,54.0795
6750,61.2456,111.969,71.7159,80.5144
6900,61.8658,112.457,74.3489,80.3668
7050,60.3799,112.777,71.0448,80.5978
7200,59.0608,110.492,74.1081,80.0848
7350,59.1816,109.739,70.8918,79.7102
7500,61.0896,113.307,74.776,80.5977
7650,58.7885,110.582,71.5392,81.0138
7800,62.0194,111.21,72.182,80.6553
7950,59.304,111.074,72.8807,78.6216
8100,59.2153,112.559,76.241,80.7134
